WIKI10_MIML after preprocessing - No of documents in which a particular label is present,,,
index,freq_count_for_label_in_test,freq_count_for_label_in_train,total_freq_count_for_label
29744,121,254,375
19819,127,244,371
11855,118,252,370
26340,118,251,369
8137,113,249,362
25293,116,244,360
3537,118,240,358
17358,109,246,355
3623,118,236,354
17280,113,241,354
3610,108,242,350
13139,109,241,350
18943,109,241,350
13558,109,238,347
13008,123,223,346
30392,117,228,345
7108,115,228,343
20257,118,219,337
10742,107,224,331
16118,103,226,329
14804,115,213,328
30248,108,220,328
7126,108,218,326
19344,100,225,325
2444,112,212,324
10258,109,214,323
26570,96,227,323
18567,106,215,321
10783,106,214,320
29955,107,211,318
1633,105,212,317
18015,113,203,316
19659,103,208,311
27955,95,212,307
16252,87,214,301
30177,93,202,295
1257,87,206,293
9107,110,179,289
12288,95,191,286
8567,87,197,284
22225,96,187,283
6337,91,190,281
16430,86,190,276
26851,85,189,274
4633,90,182,272
18929,79,193,272
16395,84,182,266
10519,80,183,263
12290,86,176,262
11267,86,173,259
13730,88,170,258
12919,92,165,257
11212,80,174,254
1522,94,157,251
29882,91,160,251
682,76,173,249
2330,70,179,249
2676,74,169,243
3729,92,151,243
27445,78,165,243
22794,82,160,242
20681,74,166,240
10848,77,161,238
26705,73,165,238
4386,76,160,236
876,89,145,234
29883,78,156,234
9284,61,172,233
6432,84,146,230
28756,67,162,229
24546,64,162,226
3425,79,146,225
20408,75,150,225
805,57,165,222
7341,80,142,222
8860,59,163,222
29573,69,153,222
6825,61,157,218
17811,68,149,217
28152,74,143,217
21584,56,160,216
2980,77,138,215
9233,55,160,215
19527,69,146,215
28909,70,144,214
6924,69,144,213
19266,67,146,213
7514,76,136,212
9580,64,147,211
25412,75,136,211
29027,59,149,208
6265,65,141,206
7051,63,143,206
11157,60,146,206
17872,68,137,205
19316,66,139,205
27318,71,134,205
6205,74,130,204
2331,66,137,203
7379,53,148,201
9517,55,145,200
27440,81,118,199
2588,74,124,198
20807,63,135,198
169,72,125,197
7398,49,144,193
9904,56,137,193
14936,69,124,193
30457,65,128,193
5669,57,135,192
25243,65,127,192
26505,54,138,192
15286,67,124,191
27802,67,124,191
2582,60,130,190
18263,61,128,189
23514,72,117,189
30297,68,121,189
13156,57,131,188
17654,56,132,188
19027,60,128,188
19415,57,130,187
22229,58,129,187
28284,71,116,187
15453,67,119,186
30353,54,132,186
20963,68,116,184
27058,51,133,184
27913,66,117,183
7492,61,120,181
10682,59,122,181
22438,55,125,180
14888,51,128,179
25668,53,125,178
29112,60,118,178
9656,49,127,176
13500,63,113,176
23439,50,126,176
6854,51,124,175
13719,48,127,175
14018,68,107,175
23322,51,124,175
30436,53,122,175
30456,54,121,175
15896,58,116,174
2836,52,121,173
7967,59,114,173
12586,60,113,173
23287,56,115,171
15813,61,108,169
27679,58,110,168
8737,48,119,167
15910,60,107,167
23992,64,102,166
30576,41,125,166
12489,53,112,165
15708,59,106,165
21323,58,106,164
2244,55,106,161
11954,55,106,161
7244,53,107,160
18523,51,109,160
27112,59,101,160
2487,42,117,159
22002,52,107,159
22175,45,114,159
29619,48,109,157
7205,57,97,154
8002,41,113,154
20245,52,101,153
13205,44,108,152
12595,43,108,151
5418,46,104,150
6858,53,97,150
25722,50,100,150
20586,46,103,149
21792,52,97,149
28369,51,98,149
30331,51,98,149
1879,38,110,148
5221,51,96,147
14013,54,93,147
24969,44,103,147
27817,45,102,147
28244,42,105,147
9805,52,94,146
20623,45,101,146
27991,49,96,145
16044,50,94,144
28840,50,94,144
8125,46,97,143
14844,39,104,143
17429,42,101,143
1811,34,108,142
2509,51,91,142
10216,44,97,141
25705,46,95,141
27457,40,101,141
6328,49,91,140
15306,52,88,140
13045,40,99,139
15166,42,97,139
2014,50,87,137
12371,35,102,137
13627,51,86,137
11650,42,94,136
23249,36,100,136
27008,47,89,136
1232,47,88,135
3152,42,93,135
17700,45,90,135
28453,55,80,135
19979,44,90,134
28648,36,98,134
7039,52,81,133
13088,37,96,133
23073,42,91,133
4650,40,92,132
19571,46,86,132
5415,40,90,130
7628,40,90,130
13909,43,87,130
2595,45,84,129
6271,39,90,129
7741,35,94,129
10508,41,88,129
23429,50,79,129
10792,40,88,128
17509,40,88,128
21376,42,86,128
22024,46,82,128
217,45,82,127
25651,43,84,127
21156,47,79,126
30282,42,84,126
668,43,82,125
3250,46,79,125
7841,36,89,125
12485,36,89,125
10701,43,81,124
12235,45,79,124
14530,32,92,124
30189,35,89,124
3314,46,77,123
4284,30,93,123
7168,47,76,123
10123,41,82,123
26845,41,82,123
6980,40,82,122
16185,32,90,122
21535,40,82,122
3451,41,80,121
14782,38,83,121
22679,42,79,121
29126,37,84,121
18513,38,82,120
23833,39,81,120
26735,34,86,120
23897,45,74,119
6569,36,82,118
7314,37,81,118
14683,41,77,118
24752,40,78,118
29463,34,84,118
7844,38,79,117
11885,33,84,117
22341,31,85,116
27017,46,70,116
27903,34,81,115
1520,38,76,114
5536,28,86,114
13373,29,85,114
21712,37,77,114
27856,36,78,114
7675,34,79,113
8985,34,79,113
13195,46,67,113
7045,26,86,112
8121,37,75,112
15147,35,77,112
21066,34,78,112
23263,49,63,112
8590,40,71,111
12550,32,79,111
13438,30,81,111
18349,26,85,111
20634,38,73,111
26522,39,72,111
26907,48,63,111
4517,36,74,110
15985,30,80,110
18520,36,74,110
21840,32,78,110
27864,30,79,109
2849,32,76,108
4514,43,65,108
17718,39,69,108
22478,32,76,108
23938,37,71,108
30496,37,71,108
12094,32,75,107
13341,38,69,107
22841,33,74,107
24146,32,75,107
22473,30,76,106
318,36,69,105
16649,35,70,105
9532,34,70,104
12000,37,67,104
16070,34,70,104
16443,38,66,104
18558,39,65,104
3280,28,75,103
6508,34,69,103
9252,30,73,103
16690,30,73,103
21615,35,68,103
28905,34,69,103
5122,25,77,102
13650,39,63,102
21993,36,66,102
3907,33,68,101
4118,36,65,101
9478,30,71,101
29077,33,68,101
8053,31,69,100
8927,39,61,100
13903,33,67,100
19172,31,68,99
26703,30,69,99
30156,42,57,99
2461,25,73,98
6584,27,71,98
16048,33,65,98
29143,33,65,98
6247,33,64,97
7113,26,71,97
15266,35,62,97
17415,30,67,97
18278,22,75,97
20085,37,60,97
21022,33,64,97
21029,35,62,97
23227,31,66,97
7956,29,67,96
1934,37,58,95
3894,30,65,95
10597,32,63,95
12121,32,63,95
15830,32,63,95
7904,28,66,94
12881,27,67,94
23892,38,56,94
28065,34,60,94
4864,36,57,93
8481,28,65,93
11856,30,63,93
17334,33,60,93
10494,26,66,92
13645,18,74,92
16230,34,58,92
22688,33,59,92
27895,29,63,92
3802,30,61,91
3888,25,66,91
4761,23,68,91
9998,37,54,91
16276,34,57,91
16945,25,66,91
18957,33,58,91
19124,30,61,91
29793,32,59,91
1374,23,67,90
6064,30,60,90
8454,26,64,90
11189,28,62,90
13356,31,59,90
13715,24,66,90
22829,28,62,90
25278,31,59,90
27867,36,54,90
2569,27,62,89
2796,28,61,89
5608,31,58,89
11785,33,56,89
18123,33,56,89
22425,28,61,89
22643,31,58,89
28186,31,58,89
20241,30,58,88
12781,21,66,87
11090,24,62,86
21000,29,57,86
22165,34,52,86
22250,27,59,86
28877,25,61,86
400,33,52,85
4669,25,60,85
5903,24,61,85
6731,28,57,85
7584,28,57,85
10516,27,58,85
10781,30,55,85
16574,24,61,85
21360,24,61,85
21886,32,53,85
24880,22,63,85
29519,32,53,85
701,21,63,84
5304,22,62,84
5722,27,57,84
11371,29,55,84
11950,26,58,84
13486,27,57,84
14208,21,63,84
15399,24,60,84
19853,22,62,84
20310,31,53,84
24674,31,53,84
26317,31,53,84
26654,22,62,84
6497,30,53,83
11911,26,57,83
12297,27,56,83
16564,26,57,83
28229,22,61,83
29554,22,61,83
4540,26,56,82
5562,35,47,82
6124,22,60,82
7806,30,52,82
9542,37,45,82
10476,25,57,82
15060,23,59,82
23763,27,55,82
6112,25,56,81
9654,29,52,81
14396,31,50,81
21486,25,56,81
22934,29,52,81
25848,27,54,81
7297,36,44,80
13099,32,48,80
26001,36,44,80
27726,29,51,80
27877,21,59,80
20106,28,51,79
21303,26,53,79
2015,32,46,78
2301,17,61,78
2938,21,57,78
4559,20,58,78
5156,23,55,78
6597,24,54,78
7411,19,59,78
8239,22,56,78
10587,20,58,78
11612,25,53,78
24973,28,50,78
27035,21,57,78
1258,22,55,77
2112,24,53,77
4868,29,48,77
10694,29,48,77
24216,30,47,77
661,22,54,76
8573,20,56,76
9855,29,47,76
9936,31,45,76
14757,24,52,76
21248,28,48,76
1471,19,56,75
6641,22,53,75
8747,28,47,75
10344,26,49,75
12258,22,53,75
14020,28,47,75
17900,29,46,75
24748,22,53,75
26733,25,50,75
28522,29,46,75
90,16,58,74
1955,19,55,74
6954,25,49,74
10864,23,51,74
11535,26,48,74
13415,24,50,74
20236,19,55,74
25371,17,57,74
26773,23,51,74
26997,25,49,74
28504,25,49,74
6582,20,53,73
7225,22,51,73
8713,25,48,73
11575,20,53,73
16455,22,51,73
16902,23,50,73
25294,22,51,73
5628,20,52,72
8369,21,51,72
8670,20,52,72
10837,25,47,72
11332,24,48,72
11972,22,50,72
13117,26,46,72
13306,20,52,72
13879,24,48,72
18476,21,51,72
22455,22,50,72
24296,25,47,72
27133,22,50,72
3607,24,47,71
4128,18,53,71
7238,21,50,71
7771,24,47,71
9846,25,46,71
10311,26,45,71
12723,21,50,71
14621,26,45,71
14649,24,47,71
21681,25,46,71
21867,24,47,71
22790,24,47,71
7941,23,47,70
17329,26,44,70
19577,27,43,70
20612,20,50,70
25611,24,46,70
27251,28,42,70
28757,26,44,70
8206,21,48,69
16115,19,50,69
18799,20,49,69
23601,25,44,69
23735,22,47,69
23921,20,49,69
25550,19,50,69
28816,23,46,69
30061,20,49,69
5253,19,49,68
7262,26,42,68
10222,30,38,68
11322,21,47,68
12054,20,48,68
14854,23,45,68
15449,31,37,68
21080,26,42,68
27013,24,44,68
106,23,44,67
6704,13,54,67
6818,28,39,67
9422,21,46,67
10313,24,43,67
13034,21,46,67
13106,25,42,67
15135,19,48,67
17186,22,45,67
18054,17,50,67
21346,23,44,67
22753,24,43,67
23293,25,42,67
25558,19,48,67
25675,25,42,67
27393,29,38,67
3815,24,42,66
5505,31,35,66
13924,23,43,66
15361,19,47,66
16990,28,38,66
18849,19,47,66
24635,26,40,66
25357,15,51,66
28973,15,51,66
2064,21,44,65
2473,22,43,65
3772,16,49,65
4947,19,46,65
6096,25,40,65
11674,19,46,65
12823,24,41,65
16520,23,42,65
20347,20,45,65
20797,29,36,65
23180,30,35,65
24597,23,42,65
27089,21,44,65
28606,18,47,65
29562,17,48,65
4867,17,47,64
5378,24,40,64
5926,18,46,64
15838,19,45,64
16025,16,48,64
20307,20,44,64
23688,23,41,64
24813,19,45,64
26398,28,36,64
26988,21,43,64
29919,26,38,64
640,20,43,63
1252,15,48,63
1569,19,44,63
1851,19,44,63
5827,20,43,63
6995,21,42,63
7120,24,39,63
7156,18,45,63
7219,20,43,63
8310,22,41,63
9071,24,39,63
23656,18,45,63
23820,23,40,63
25557,25,38,63
219,22,40,62
221,16,46,62
4023,24,38,62
6374,22,40,62
9053,22,40,62
11968,22,40,62
12050,20,42,62
12256,19,43,62
12943,24,38,62
19815,18,44,62
22059,30,32,62
22385,16,46,62
22883,21,41,62
23517,24,38,62
23593,25,37,62
24924,20,42,62
2853,20,41,61
6406,22,39,61
7189,18,43,61
8299,20,41,61
9061,17,44,61
9613,18,43,61
10193,20,41,61
18109,19,42,61
19591,23,38,61
21775,18,43,61
22456,22,39,61
23319,17,44,61
23467,14,47,61
28611,23,38,61
29036,16,45,61
29918,20,41,61
1619,16,44,60
1734,20,40,60
5494,23,37,60
8847,17,43,60
9016,23,37,60
9903,21,39,60
10614,17,43,60
10943,25,35,60
16585,19,41,60
19168,14,46,60
20387,23,37,60
21621,18,42,60
22384,16,44,60
25132,27,33,60
26305,22,38,60
26331,18,42,60
27529,20,40,60
29633,19,41,60
638,12,47,59
780,21,38,59
5741,21,38,59
6386,21,38,59
9425,22,37,59
17876,18,41,59
18701,19,40,59
23046,24,35,59
28563,16,43,59
10642,14,44,58
14103,24,34,58
17710,15,43,58
19173,15,43,58
24176,23,35,58
26415,17,41,58
27781,22,36,58
28307,17,41,58
29022,19,39,58
6539,23,34,57
6594,22,35,57
9426,19,38,57
9496,19,38,57
12942,18,39,57
14264,20,37,57
14398,22,35,57
15473,24,33,57
20107,25,32,57
20424,21,36,57
24616,20,37,57
24938,20,37,57
26128,19,38,57
27064,20,37,57
29024,18,39,57
2481,21,35,56
5416,22,34,56
6707,15,41,56
8309,22,34,56
8632,21,35,56
10391,26,30,56
13147,19,37,56
14537,19,37,56
15868,12,44,56
16205,19,37,56
23275,18,38,56
23914,21,35,56
7791,21,34,55
8608,16,39,55
8772,20,35,55
9878,22,33,55
9881,17,38,55
11243,15,40,55
12427,16,39,55
13362,20,35,55
13578,20,35,55
13803,18,37,55
13946,14,41,55
15458,17,38,55
15795,19,36,55
15802,20,35,55
21232,18,37,55
21482,16,39,55
24214,18,37,55
27319,13,42,55
28406,14,41,55
30719,14,41,55
6523,17,37,54
6644,19,35,54
9648,14,40,54
15187,15,39,54
18616,16,38,54
21871,16,38,54
24062,23,31,54
24285,16,38,54
27219,18,36,54
30517,18,36,54
9888,17,36,53
10870,17,36,53
13698,21,32,53
14343,18,35,53
14805,15,38,53
16113,18,35,53
19581,17,36,53
19586,18,35,53
19787,21,32,53
20969,21,32,53
22705,20,33,53
26788,15,38,53
28163,19,34,53
30263,17,36,53
30366,23,30,53
30508,13,40,53
30654,16,37,53
1794,17,35,52
2452,17,35,52
3206,16,36,52
3631,13,39,52
3970,15,37,52
5954,14,38,52
7533,13,39,52
11064,15,37,52
12422,12,40,52
14710,22,30,52
18295,19,33,52
18695,20,32,52
19147,17,35,52
20944,17,35,52
25272,17,35,52
29206,20,32,52
3597,16,35,51
3653,15,36,51
4148,15,36,51
5491,20,31,51
5572,17,34,51
5918,16,35,51
9489,13,38,51
10862,17,34,51
18752,18,33,51
18875,19,32,51
24364,15,36,51
27119,16,35,51
3976,13,37,50
4084,20,30,50
5745,19,31,50
8023,19,31,50
10233,14,36,50
10939,16,34,50
16007,20,30,50
18950,22,28,50
22269,17,33,50
23231,16,34,50
24749,12,38,50
26238,19,31,50
27633,20,30,50
28062,16,34,50
28091,17,33,50
29207,12,38,50
29234,12,38,50
1737,18,31,49
2872,19,30,49
4903,15,34,49
6805,16,33,49
9189,20,29,49
9446,21,28,49
9625,17,32,49
10234,20,29,49
10424,16,33,49
10480,19,30,49
11880,17,32,49
12376,19,30,49
12722,19,30,49
15411,17,32,49
17263,14,35,49
17512,15,34,49
18575,17,32,49
21122,14,35,49
24576,12,37,49
24696,12,37,49
27259,22,27,49
29531,17,32,49
29830,17,32,49
3373,14,34,48
3905,13,35,48
4219,13,35,48
5114,11,37,48
7979,20,28,48
10073,19,29,48
12517,18,30,48
14653,17,31,48
16195,20,28,48
19188,17,31,48
20530,17,31,48
25353,19,29,48
26466,15,33,48
26925,11,37,48
27532,15,33,48
28010,20,28,48
2808,22,25,47
3219,14,33,47
6483,15,32,47
7220,14,33,47
7581,18,29,47
8606,12,35,47
10327,14,33,47
13574,14,33,47
14494,18,29,47
17645,17,30,47
18356,9,38,47
18855,15,32,47
19104,19,28,47
20133,12,35,47
22945,13,34,47
23736,13,34,47
24743,13,34,47
24795,20,27,47
25501,14,33,47
25785,16,31,47
26116,17,30,47
27963,13,34,47
27964,14,33,47
30121,19,28,47
2957,15,31,46
3165,19,27,46
5651,21,25,46
6629,14,32,46
8368,14,32,46
9693,13,33,46
10243,11,35,46
11165,16,30,46
11370,17,29,46
12918,20,26,46
14015,11,35,46
15815,16,30,46
16155,16,30,46
16508,14,32,46
19036,19,27,46
19093,18,28,46
19432,12,34,46
21790,15,31,46
24139,22,24,46
25479,13,33,46
27108,9,37,46
0,13,32,45
313,15,30,45
4278,17,28,45
4298,18,27,45
4431,12,33,45
4436,10,35,45
4480,13,32,45
4997,12,33,45
9620,15,30,45
10878,10,35,45
14491,20,25,45
15793,15,30,45
17721,19,26,45
18862,16,29,45
19009,17,28,45
19719,18,27,45
23186,14,31,45
26017,18,27,45
26593,14,31,45
26701,14,31,45
26873,18,27,45
27389,17,28,45
28000,9,36,45
28556,19,26,45
29226,15,30,45
29608,18,27,45
1551,16,28,44
1558,13,31,44
4273,9,35,44
4375,21,23,44
5460,13,31,44
5664,15,29,44
6182,14,30,44
12879,19,25,44
13843,13,31,44
17653,13,31,44
17858,12,32,44
17986,14,30,44
18385,12,32,44
18601,13,31,44
20027,11,33,44
20282,13,31,44
22681,13,31,44
24427,17,27,44
25717,10,34,44
27831,18,26,44
28578,9,35,44
29758,13,31,44
3218,17,26,43
3725,11,32,43
9120,12,31,43
11261,8,35,43
11710,11,32,43
12232,17,26,43
14665,15,28,43
14769,15,28,43
15092,9,34,43
15281,15,28,43
18033,12,31,43
19455,11,32,43
20231,13,30,43
20779,17,26,43
22831,16,27,43
23708,13,30,43
25347,11,32,43
25801,14,29,43
27041,11,32,43
27291,17,26,43
27626,17,26,43
27716,16,27,43
27797,14,29,43
6027,17,25,42
6685,11,31,42
8018,12,30,42
8659,12,30,42
9513,15,27,42
9631,7,35,42
9859,17,25,42
10368,13,29,42
10487,16,26,42
11156,9,33,42
12471,12,30,42
12696,11,31,42
13676,12,30,42
16272,20,22,42
16525,14,28,42
17019,9,33,42
17370,10,32,42
17501,15,27,42
17649,16,26,42
18283,14,28,42
18583,12,30,42
19283,17,25,42
20639,15,27,42
20709,15,27,42
22522,12,30,42
23296,16,26,42
23310,18,24,42
24233,15,27,42
24897,10,32,42
29348,16,26,42
29825,12,30,42
1814,18,23,41
1987,15,26,41
3418,14,27,41
5860,12,29,41
8527,8,33,41
11595,16,25,41
12236,9,32,41
13555,17,24,41
14790,15,26,41
14902,16,25,41
15264,15,26,41
15509,13,28,41
16242,9,32,41
19736,14,27,41
21380,13,28,41
22529,17,24,41
22601,11,30,41
22957,17,24,41
23011,14,27,41
26023,13,28,41
26333,12,29,41
26592,13,28,41
26879,13,28,41
27619,13,28,41
27727,15,26,41
220,11,29,40
2437,6,34,40
2770,12,28,40
3628,11,29,40
4488,14,26,40
4914,13,27,40
4951,15,25,40
6003,13,27,40
8787,16,24,40
8929,11,29,40
9668,12,28,40
10220,14,26,40
10397,11,29,40
12238,15,25,40
15659,18,22,40
16083,16,24,40
19580,16,24,40
19779,12,28,40
20267,19,21,40
20353,11,29,40
22774,12,28,40
24295,12,28,40
24395,10,30,40
25445,11,29,40
28305,11,29,40
28975,8,32,40
1635,11,28,39
3017,15,24,39
5160,13,26,39
6166,13,26,39
6880,15,24,39
7063,12,27,39
7071,10,29,39
8426,16,23,39
9833,10,29,39
10166,17,22,39
10821,13,26,39
11623,13,26,39
11715,11,28,39
12475,14,25,39
13661,15,24,39
15139,17,22,39
15500,18,21,39
17266,13,26,39
17790,18,21,39
18042,13,26,39
23421,15,24,39
23771,9,30,39
24549,12,27,39
25679,14,25,39
26077,16,23,39
26599,8,31,39
26661,18,21,39
26797,10,29,39
28426,20,19,39
30906,13,26,39
1491,12,26,38
3008,11,27,38
3510,15,23,38
4426,13,25,38
5983,8,30,38
7654,9,29,38
12417,13,25,38
12971,17,21,38
13851,9,29,38
14303,12,26,38
14927,18,20,38
15737,13,25,38
16102,10,28,38
16108,17,21,38
17888,12,26,38
18454,9,29,38
18660,13,25,38
19042,16,22,38
20128,16,22,38
20263,12,26,38
21440,13,25,38
22782,10,28,38
23573,11,27,38
24116,12,26,38
29094,15,23,38
108,11,26,37
218,14,23,37
1119,13,24,37
1660,11,26,37
3299,10,27,37
3688,16,21,37
3969,13,24,37
5049,13,24,37
7495,12,25,37
7498,10,27,37
8006,11,26,37
8109,9,28,37
8243,10,27,37
8682,10,27,37
11464,16,21,37
12115,13,24,37
12179,7,30,37
14919,16,21,37
16120,14,23,37
16341,10,27,37
17257,8,29,37
18418,12,25,37
20815,13,24,37
20831,15,22,37
21218,16,21,37
22199,13,24,37
22475,14,23,37
22839,9,28,37
24138,11,26,37
25420,17,20,37
25777,14,23,37
26857,16,21,37
26886,12,25,37
28256,15,22,37
28577,9,28,37
28937,14,23,37
465,12,24,36
1136,10,26,36
2759,10,26,36
4734,13,23,36
6217,8,28,36
6425,11,25,36
6913,12,24,36
6991,10,26,36
7646,10,26,36
8241,13,23,36
8274,9,27,36
8413,10,26,36
9400,6,30,36
9584,10,26,36
10052,13,23,36
10163,8,28,36
10685,11,25,36
11311,15,21,36
11469,13,23,36
12383,12,24,36
13134,10,26,36
14159,11,25,36
14377,16,20,36
15771,9,27,36
16037,10,26,36
17377,15,21,36
20925,13,23,36
21791,11,25,36
22635,11,25,36
24263,13,23,36
24418,17,19,36
25299,15,21,36
27523,15,21,36
28381,16,20,36
28497,11,25,36
29502,15,21,36
29780,8,28,36
30526,13,23,36
1133,13,22,35
1513,12,23,35
1642,8,27,35
2215,10,25,35
2303,9,26,35
2826,8,27,35
3214,10,25,35
3316,11,24,35
3358,10,25,35
4398,10,25,35
5059,10,25,35
5540,14,21,35
5831,13,22,35
7154,14,21,35
7448,14,21,35
7507,14,21,35
7555,12,23,35
9117,15,20,35
11190,11,24,35
11364,11,24,35
11671,12,23,35
11737,12,23,35
12083,11,24,35
13776,9,26,35
13913,10,25,35
15174,8,27,35
15767,9,26,35
16179,14,21,35
20152,14,21,35
21259,12,23,35
21446,9,26,35
21476,11,24,35
21524,10,25,35
22797,14,21,35
23071,16,19,35
23386,13,22,35
24255,15,20,35
25313,17,18,35
25872,15,20,35
26312,8,27,35
27425,12,23,35
27507,15,20,35
29561,11,24,35
30565,11,24,35
30878,7,28,35
380,7,27,34
710,10,24,34
1216,12,22,34
4083,13,21,34
4538,5,29,34
7098,11,23,34
7399,12,22,34
8315,14,20,34
8717,6,28,34
9140,9,25,34
9673,10,24,34
10256,13,21,34
10483,9,25,34
10931,14,20,34
12324,9,25,34
12621,13,21,34
12660,9,25,34
13070,12,22,34
13449,9,25,34
14383,13,21,34
16089,10,24,34
16916,9,25,34
18230,9,25,34
19102,10,24,34
22972,11,23,34
23380,11,23,34
24000,11,23,34
24451,14,20,34
26470,14,20,34
26639,14,20,34
27201,10,24,34
27391,11,23,34
29214,13,21,34
29469,16,18,34
29630,11,23,34
820,9,24,33
1751,19,14,33
2177,9,24,33
4742,8,25,33
5605,12,21,33
5637,13,20,33
5759,8,25,33
6143,13,20,33
6344,11,22,33
7012,9,24,33
7778,8,25,33
7885,7,26,33
10255,9,24,33
10655,11,22,33
11906,13,20,33
12200,18,15,33
12464,13,20,33
13067,14,19,33
14501,7,26,33
14626,8,25,33
15044,14,19,33
15313,7,26,33
16749,9,24,33
17205,6,27,33
17496,8,25,33
17668,10,23,33
18280,11,22,33
18505,12,21,33
18788,13,20,33
19014,11,22,33
19487,10,23,33
19767,11,22,33
21074,9,24,33
21104,9,24,33
21350,11,22,33
21772,14,19,33
22249,18,15,33
22525,13,20,33
23045,11,22,33
23347,9,24,33
23472,11,22,33
24086,10,23,33
24140,14,19,33
24164,6,27,33
24189,10,23,33
24397,9,24,33
26076,13,20,33
27416,6,27,33
28608,14,19,33
29771,9,24,33
29811,13,20,33
30590,9,24,33
915,6,26,32
1234,8,24,32
1646,8,24,32
1911,12,20,32
2061,14,18,32
2632,12,20,32
5449,10,22,32
7198,15,17,32
7545,12,20,32
7593,12,20,32
7749,10,22,32
9497,11,21,32
9503,8,24,32
10032,6,26,32
10061,12,20,32
11153,14,18,32
11241,8,24,32
11577,9,23,32
11909,8,24,32
12244,11,21,32
12486,10,22,32
12603,9,23,32
12666,12,20,32
14167,15,17,32
14211,13,19,32
14572,9,23,32
14663,12,20,32
14917,13,19,32
15054,10,22,32
15304,8,24,32
15368,15,17,32
15742,14,18,32
16340,6,26,32
16368,11,21,32
17086,14,18,32
17545,12,20,32
17757,9,23,32
17935,11,21,32
18645,11,21,32
19317,9,23,32
20515,13,19,32
20671,13,19,32
21793,9,23,32
22050,12,20,32
22432,10,22,32
23505,11,21,32
23896,10,22,32
25403,10,22,32
26319,9,23,32
27143,7,25,32
27299,10,22,32
27628,14,18,32
28468,8,24,32
29129,12,20,32
29380,6,26,32
260,11,20,31
263,12,19,31
1588,5,26,31
1771,8,23,31
5184,7,24,31
5884,10,21,31
6150,8,23,31
6943,12,19,31
7895,11,20,31
8346,10,21,31
8888,8,23,31
9060,10,21,31
11080,14,17,31
11971,8,23,31
12339,7,24,31
13872,6,25,31
14230,14,17,31
14616,8,23,31
15374,10,21,31
15578,10,21,31
15579,10,21,31
16054,12,19,31
16199,11,20,31
16728,8,23,31
16913,9,22,31
17298,12,19,31
17639,8,23,31
17646,11,20,31
18634,11,20,31
19179,13,18,31
19675,8,23,31
20934,13,18,31
20941,7,24,31
21441,11,20,31
21860,11,20,31
22082,11,20,31
22486,11,20,31
23404,10,21,31
23568,14,17,31
24171,11,20,31
24366,13,18,31
25168,5,26,31
25169,10,21,31
27075,12,19,31
27304,9,22,31
27876,10,21,31
28444,8,23,31
28511,7,24,31
29252,11,20,31
29703,7,24,31
30062,9,22,31
30114,7,24,31
30511,12,19,31
2960,9,21,30
3094,9,21,30
3202,10,20,30
3283,11,19,30
3449,8,22,30
3465,8,22,30
3898,8,22,30
4105,8,22,30
5740,12,18,30
6326,7,23,30
6925,6,24,30
7124,14,16,30
7285,11,19,30
9867,10,20,30
9917,11,19,30
9919,5,25,30
11810,11,19,30
12045,14,16,30
12822,10,20,30
13041,8,22,30
13108,11,19,30
14016,10,20,30
